   1: max:0.143, min:0.000, mean:0.051
   2: max:0.143, min:0.000, mean:0.069
   3: max:0.179, min:0.036, mean:0.091
   4: max:0.179, min:0.000, mean:0.104
   5: max:0.179, min:0.036, mean:0.121
   6: max:0.179, min:0.071, mean:0.131
   7: max:0.214, min:0.071, mean:0.143
   8: max:0.214, min:0.107, mean:0.152
   9: max:0.214, min:0.107, mean:0.158
  10: max:0.214, min:0.107, mean:0.168
  11: max:0.214, min:0.107, mean:0.172
  12: max:0.250, min:0.143, mean:0.179
  13: max:0.250, min:0.143, mean:0.188
  14: max:0.250, min:0.107, mean:0.193
  15: max:0.250, min:0.143, mean:0.204
  16: max:0.250, min:0.071, mean:0.207
  17: max:0.286, min:0.143, mean:0.213
  18: max:0.286, min:0.143, mean:0.219
  19: max:0.286, min:0.179, mean:0.228
  20: max:0.321, min:0.179, mean:0.239
  21: max:0.321, min:0.179, mean:0.246
  22: max:0.321, min:0.179, mean:0.257
  23: max:0.321, min:0.179, mean:0.264
  24: max:0.321, min:0.143, mean:0.268
  25: max:0.321, min:0.214, mean:0.271
  26: max:0.321, min:0.214, mean:0.277
  27: max:0.321, min:0.214, mean:0.282
  28: max:0.321, min:0.179, mean:0.284
  29: max:0.357, min:0.214, mean:0.294
  30: max:0.357, min:0.214, mean:0.299
  31: max:0.357, min:0.250, mean:0.304
  32: max:0.357, min:0.214, mean:0.306
  33: max:0.393, min:0.250, mean:0.313
  34: max:0.393, min:0.214, mean:0.321
  35: max:0.429, min:0.250, mean:0.324
  36: max:0.429, min:0.250, mean:0.331
  37: max:0.429, min:0.250, mean:0.344
  38: max:0.464, min:0.214, mean:0.350
  39: max:0.464, min:0.286, mean:0.370
  40: max:0.464, min:0.286, mean:0.379
  41: max:0.464, min:0.286, mean:0.391
  42: max:0.464, min:0.286, mean:0.393
  43: max:0.464, min:0.286, mean:0.397
  44: max:0.464, min:0.286, mean:0.397
  45: max:0.464, min:0.321, mean:0.401
  46: max:0.464, min:0.321, mean:0.405
  47: max:0.464, min:0.321, mean:0.410
  48: max:0.464, min:0.357, mean:0.412
  49: max:0.500, min:0.321, mean:0.413
  50: max:0.500, min:0.357, mean:0.415
  51: max:0.500, min:0.321, mean:0.417
  52: max:0.500, min:0.286, mean:0.423
  53: max:0.500, min:0.321, mean:0.426
  54: max:0.500, min:0.321, mean:0.424
  55: max:0.500, min:0.321, mean:0.428
  56: max:0.500, min:0.357, mean:0.423
  57: max:0.500, min:0.357, mean:0.431
  58: max:0.500, min:0.357, mean:0.431
  59: max:0.500, min:0.357, mean:0.433
  60: max:0.500, min:0.357, mean:0.440
  61: max:0.536, min:0.321, mean:0.438
  62: max:0.536, min:0.357, mean:0.441
  63: max:0.536, min:0.357, mean:0.448
  64: max:0.500, min:0.357, mean:0.448
  65: max:0.500, min:0.393, mean:0.458
  66: max:0.500, min:0.357, mean:0.462
  67: max:0.536, min:0.357, mean:0.462
  68: max:0.536, min:0.357, mean:0.465
  69: max:0.536, min:0.393, mean:0.465
  70: max:0.571, min:0.357, mean:0.467
  71: max:0.571, min:0.321, mean:0.470
  72: max:0.571, min:0.321, mean:0.467
  73: max:0.571, min:0.357, mean:0.470
  74: max:0.571, min:0.393, mean:0.484
  75: max:0.571, min:0.393, mean:0.489
  76: max:0.571, min:0.393, mean:0.495
  77: max:0.571, min:0.393, mean:0.497
  78: max:0.571, min:0.393, mean:0.500
  79: max:0.571, min:0.393, mean:0.500
  80: max:0.571, min:0.393, mean:0.504
  81: max:0.571, min:0.429, mean:0.511
  82: max:0.536, min:0.393, mean:0.511
  83: max:0.536, min:0.393, mean:0.504
  84: max:0.536, min:0.429, mean:0.503
  85: max:0.536, min:0.393, mean:0.492
  86: max:0.571, min:0.321, mean:0.493
  87: max:0.571, min:0.429, mean:0.501
  88: max:0.536, min:0.393, mean:0.502
  89: max:0.536, min:0.393, mean:0.499
  90: max:0.536, min:0.429, mean:0.497
  91: max:0.571, min:0.393, mean:0.497
  92: max:0.571, min:0.357, mean:0.501
  93: max:0.571, min:0.429, mean:0.504
  94: max:0.571, min:0.393, mean:0.496
  95: max:0.571, min:0.393, mean:0.499
  96: max:0.571, min:0.429, mean:0.508
  97: max:0.607, min:0.393, mean:0.507
  98: max:0.607, min:0.429, mean:0.510
  99: max:0.571, min:0.429, mean:0.514
 100: max:0.643, min:0.393, mean:0.517
 101: max:0.643, min:0.429, mean:0.529
 102: max:0.679, min:0.464, mean:0.538
 103: max:0.643, min:0.429, mean:0.547
 104: max:0.679, min:0.393, mean:0.560
 105: max:0.679, min:0.464, mean:0.568
 106: max:0.643, min:0.464, mean:0.565
 107: max:0.643, min:0.500, mean:0.574
 108: max:0.643, min:0.500, mean:0.585
 109: max:0.643, min:0.500, mean:0.585
 110: max:0.643, min:0.464, mean:0.591
 111: max:0.643, min:0.464, mean:0.581
 112: max:0.643, min:0.500, mean:0.580
 113: max:0.643, min:0.464, mean:0.583
 114: max:0.643, min:0.500, mean:0.583
 115: max:0.679, min:0.464, mean:0.585
 116: max:0.714, min:0.500, mean:0.575
 117: max:0.750, min:0.429, mean:0.573
 118: max:0.750, min:0.429, mean:0.568
 119: max:0.714, min:0.429, mean:0.573
 120: max:0.679, min:0.500, mean:0.568
 121: max:0.643, min:0.429, mean:0.562
 122: max:0.643, min:0.464, mean:0.569
 123: max:0.643, min:0.429, mean:0.564
 124: max:0.643, min:0.464, mean:0.564
 125: max:0.679, min:0.464, mean:0.560
 126: max:0.679, min:0.429, mean:0.567
 127: max:0.643, min:0.429, mean:0.570
 128: max:0.643, min:0.429, mean:0.576
 129: max:0.643, min:0.464, mean:0.577
 130: max:0.679, min:0.464, mean:0.578
 131: max:0.643, min:0.429, mean:0.579
 132: max:0.643, min:0.429, mean:0.581
 133: max:0.643, min:0.464, mean:0.581
 134: max:0.643, min:0.500, mean:0.580
 135: max:0.679, min:0.464, mean:0.586
 136: max:0.679, min:0.500, mean:0.588
 137: max:0.643, min:0.500, mean:0.593
 138: max:0.643, min:0.500, mean:0.593
 139: max:0.643, min:0.500, mean:0.596
 140: max:0.643, min:0.536, mean:0.601
 141: max:0.643, min:0.500, mean:0.600
 142: max:0.679, min:0.500, mean:0.601
 143: max:0.643, min:0.500, mean:0.596
 144: max:0.643, min:0.500, mean:0.606
 145: max:0.643, min:0.500, mean:0.606
 146: max:0.679, min:0.464, mean:0.606
 147: max:0.643, min:0.464, mean:0.605
 148: max:0.643, min:0.464, mean:0.604
 149: max:0.643, min:0.464, mean:0.596
 150: max:0.643, min:0.500, mean:0.594
 151: max:0.643, min:0.500, mean:0.595
 152: max:0.679, min:0.500, mean:0.590
 153: max:0.679, min:0.500, mean:0.590
 154: max:0.679, min:0.464, mean:0.598
 155: max:0.679, min:0.500, mean:0.611
 156: max:0.714, min:0.393, mean:0.610
 157: max:0.714, min:0.500, mean:0.613
 158: max:0.714, min:0.429, mean:0.608
 159: max:0.714, min:0.500, mean:0.607
 160: max:0.714, min:0.536, mean:0.603
 161: max:0.714, min:0.464, mean:0.601
 162: max:0.679, min:0.429, mean:0.595
 163: max:0.679, min:0.500, mean:0.600
 164: max:0.679, min:0.500, mean:0.603
 165: max:0.679, min:0.500, mean:0.609
 166: max:0.679, min:0.500, mean:0.617
 167: max:0.679, min:0.500, mean:0.618
 168: max:0.679, min:0.500, mean:0.613
 169: max:0.679, min:0.536, mean:0.621
 170: max:0.714, min:0.500, mean:0.620
 171: max:0.679, min:0.500, mean:0.623
 172: max:0.679, min:0.500, mean:0.625
 173: max:0.679, min:0.500, mean:0.621
 174: max:0.679, min:0.500, mean:0.617
 175: max:0.679, min:0.500, mean:0.618
 176: max:0.679, min:0.536, mean:0.623
 177: max:0.679, min:0.500, mean:0.621
 178: max:0.679, min:0.536, mean:0.616
 179: max:0.714, min:0.464, mean:0.611
 180: max:0.714, min:0.500, mean:0.611
 181: max:0.714, min:0.500, mean:0.607
 182: max:0.714, min:0.464, mean:0.608
 183: max:0.714, min:0.464, mean:0.610
 184: max:0.714, min:0.536, mean:0.610
 185: max:0.714, min:0.500, mean:0.619
 186: max:0.714, min:0.500, mean:0.628
 187: max:0.714, min:0.536, mean:0.640
 188: max:0.714, min:0.536, mean:0.643
 189: max:0.714, min:0.500, mean:0.645
 190: max:0.750, min:0.500, mean:0.646
 191: max:0.714, min:0.500, mean:0.643
 192: max:0.714, min:0.500, mean:0.640
 193: max:0.714, min:0.500, mean:0.636
 194: max:0.714, min:0.571, mean:0.650
 195: max:0.714, min:0.500, mean:0.646
 196: max:0.714, min:0.571, mean:0.650
 197: max:0.714, min:0.536, mean:0.648
 198: max:0.714, min:0.536, mean:0.651
 199: max:0.714, min:0.536, mean:0.650
 200: max:0.714, min:0.500, mean:0.646
 201: max:0.714, min:0.536, mean:0.653
 202: max:0.714, min:0.536, mean:0.653
 203: max:0.714, min:0.536, mean:0.646
 204: max:0.714, min:0.500, mean:0.650
 205: max:0.714, min:0.536, mean:0.646
 206: max:0.714, min:0.536, mean:0.649
 207: max:0.714, min:0.536, mean:0.643
 208: max:0.714, min:0.536, mean:0.644
 209: max:0.714, min:0.536, mean:0.643
 210: max:0.714, min:0.500, mean:0.644
 211: max:0.714, min:0.536, mean:0.645
 212: max:0.714, min:0.500, mean:0.642
 213: max:0.714, min:0.536, mean:0.650
 214: max:0.714, min:0.571, mean:0.649
 215: max:0.714, min:0.536, mean:0.650
 216: max:0.714, min:0.536, mean:0.647
 217: max:0.714, min:0.536, mean:0.647
 218: max:0.714, min:0.536, mean:0.643
 219: max:0.714, min:0.536, mean:0.646
 220: max:0.750, min:0.536, mean:0.638
 221: max:0.714, min:0.536, mean:0.651
 222: max:0.714, min:0.500, mean:0.649
 223: max:0.714, min:0.571, mean:0.657
 224: max:0.714, min:0.571, mean:0.656
 225: max:0.714, min:0.536, mean:0.651
 226: max:0.714, min:0.571, mean:0.651
 227: max:0.714, min:0.536, mean:0.647
 228: max:0.714, min:0.536, mean:0.652
 229: max:0.714, min:0.464, mean:0.642
 230: max:0.714, min:0.536, mean:0.643
 231: max:0.714, min:0.500, mean:0.644
 232: max:0.714, min:0.536, mean:0.644
 233: max:0.714, min:0.500, mean:0.642
 234: max:0.714, min:0.536, mean:0.644
 235: max:0.750, min:0.536, mean:0.645
 236: max:0.750, min:0.571, mean:0.660
 237: max:0.714, min:0.500, mean:0.664
 238: max:0.750, min:0.536, mean:0.663
 239: max:0.750, min:0.536, mean:0.667
 240: max:0.750, min:0.571, mean:0.660
 241: max:0.750, min:0.536, mean:0.654
 242: max:0.750, min:0.536, mean:0.650
 243: max:0.750, min:0.536, mean:0.645
 244: max:0.714, min:0.536, mean:0.651
 245: max:0.714, min:0.571, mean:0.647
 246: max:0.714, min:0.536, mean:0.641
 247: max:0.714, min:0.536, mean:0.645
 248: max:0.714, min:0.500, mean:0.642
 249: max:0.750, min:0.500, mean:0.639
 250: max:0.750, min:0.536, mean:0.643
 251: max:0.786, min:0.536, mean:0.641
 252: max:0.786, min:0.571, mean:0.646
 253: max:0.750, min:0.536, mean:0.645
 254: max:0.750, min:0.536, mean:0.647
 255: max:0.750, min:0.500, mean:0.643
 256: max:0.750, min:0.536, mean:0.648
 257: max:0.750, min:0.500, mean:0.651
 258: max:0.750, min:0.536, mean:0.647
 259: max:0.750, min:0.500, mean:0.646
 260: max:0.750, min:0.536, mean:0.644
 261: max:0.750, min:0.536, mean:0.644
 262: max:0.750, min:0.536, mean:0.644
 263: max:0.750, min:0.500, mean:0.641
 264: max:0.750, min:0.536, mean:0.651
 265: max:0.750, min:0.536, mean:0.651
 266: max:0.714, min:0.536, mean:0.642
 267: max:0.714, min:0.464, mean:0.640
 268: max:0.714, min:0.536, mean:0.642
 269: max:0.714, min:0.500, mean:0.647
 270: max:0.714, min:0.536, mean:0.645
 271: max:0.714, min:0.536, mean:0.645
 272: max:0.679, min:0.536, mean:0.641
 273: max:0.679, min:0.500, mean:0.631
 274: max:0.679, min:0.500, mean:0.625
 275: max:0.679, min:0.536, mean:0.623
 276: max:0.679, min:0.500, mean:0.627
 277: max:0.679, min:0.500, mean:0.630
 278: max:0.714, min:0.500, mean:0.639
 279: max:0.714, min:0.500, mean:0.636
 280: max:0.714, min:0.536, mean:0.637
 281: max:0.714, min:0.536, mean:0.639
 282: max:0.714, min:0.536, mean:0.630
 283: max:0.714, min:0.571, mean:0.633
 284: max:0.714, min:0.536, mean:0.635
 285: max:0.714, min:0.536, mean:0.625
 286: max:0.679, min:0.536, mean:0.624
 287: max:0.679, min:0.500, mean:0.627
 288: max:0.679, min:0.500, mean:0.631
 289: max:0.714, min:0.464, mean:0.625
 290: max:0.750, min:0.500, mean:0.628
 291: max:0.714, min:0.536, mean:0.625
 292: max:0.714, min:0.500, mean:0.620
 293: max:0.679, min:0.536, mean:0.623
 294: max:0.679, min:0.500, mean:0.620
 295: max:0.679, min:0.464, mean:0.616
 296: max:0.679, min:0.500, mean:0.619
 297: max:0.714, min:0.500, mean:0.616
 298: max:0.714, min:0.500, mean:0.611
 299: max:0.714, min:0.500, mean:0.613
 300: max:0.679, min:0.464, mean:0.605
 301: max:0.679, min:0.500, mean:0.614
 302: max:0.679, min:0.500, mean:0.611
 303: max:0.679, min:0.536, mean:0.617
 304: max:0.679, min:0.536, mean:0.614
 305: max:0.714, min:0.464, mean:0.612
 306: max:0.714, min:0.500, mean:0.616
 307: max:0.714, min:0.500, mean:0.613
 308: max:0.714, min:0.500, mean:0.617
 309: max:0.714, min:0.536, mean:0.618
 310: max:0.714, min:0.500, mean:0.606
 311: max:0.714, min:0.464, mean:0.605
 312: max:0.679, min:0.500, mean:0.610
 313: max:0.679, min:0.536, mean:0.611
 314: max:0.679, min:0.500, mean:0.609
 315: max:0.679, min:0.500, mean:0.611
 316: max:0.679, min:0.536, mean:0.613
 317: max:0.679, min:0.500, mean:0.614
 318: max:0.679, min:0.500, mean:0.618
 319: max:0.679, min:0.500, mean:0.620
 320: max:0.679, min:0.464, mean:0.615
 321: max:0.679, min:0.500, mean:0.618
 322: max:0.679, min:0.500, mean:0.614
 323: max:0.679, min:0.500, mean:0.615
 324: max:0.679, min:0.500, mean:0.614
 325: max:0.679, min:0.500, mean:0.605
 326: max:0.714, min:0.464, mean:0.599
 327: max:0.679, min:0.464, mean:0.591
 328: max:0.679, min:0.464, mean:0.601
 329: max:0.714, min:0.500, mean:0.600
 330: max:0.714, min:0.500, mean:0.607
 331: max:0.714, min:0.500, mean:0.608
 332: max:0.714, min:0.536, mean:0.616
 333: max:0.714, min:0.464, mean:0.620
 334: max:0.714, min:0.500, mean:0.623
 335: max:0.714, min:0.500, mean:0.619
 336: max:0.714, min:0.500, mean:0.625
 337: max:0.714, min:0.500, mean:0.629
 338: max:0.714, min:0.536, mean:0.640
 339: max:0.750, min:0.536, mean:0.643
 340: max:0.714, min:0.536, mean:0.647
 341: max:0.714, min:0.500, mean:0.645
 342: max:0.714, min:0.536, mean:0.647
 343: max:0.714, min:0.536, mean:0.652
 344: max:0.714, min:0.536, mean:0.652
 345: max:0.714, min:0.571, mean:0.652
 346: max:0.714, min:0.536, mean:0.646
 347: max:0.714, min:0.500, mean:0.640
