 100: max:0.607, min:0.464, mean:0.547
 200: max:0.679, min:0.500, mean:0.589
 400: max:0.750, min:0.536, mean:0.672
 800: max:0.714, min:0.571, mean:0.663
1600: max:0.786, min:0.429, mean:0.628
3200: max:0.679, min:0.464, mean:0.616
6400: max:0.679, min:0.536, mean:0.629
 100: max:0.643, min:0.429, mean:0.541
 200: max:0.714, min:0.536, mean:0.635
 400: max:0.714, min:0.536, mean:0.635
 800: max:0.714, min:0.536, mean:0.644
1600: max:0.714, min:0.536, mean:0.646
3200: max:0.714, min:0.536, mean:0.645
6400: max:0.750, min:0.571, mean:0.680
 100: max:0.571, min:0.429, mean:0.517
 200: max:0.679, min:0.464, mean:0.608
 400: max:0.750, min:0.571, mean:0.660
 800: max:0.714, min:0.464, mean:0.617
1600: max:0.714, min:0.500, mean:0.646
3200: max:0.643, min:0.536, mean:0.592
6400: max:0.643, min:0.500, mean:0.575
 100: max:0.607, min:0.464, mean:0.544
 200: max:0.714, min:0.536, mean:0.631
 400: max:0.750, min:0.536, mean:0.666
 800: max:0.714, min:0.500, mean:0.623
1600: max:0.750, min:0.536, mean:0.656
3200: max:0.750, min:0.571, mean:0.673
6400: max:0.750, min:0.536, mean:0.648
 100: max:0.571, min:0.464, mean:0.533
 200: max:0.714, min:0.536, mean:0.648
 400: max:0.714, min:0.536, mean:0.641
 800: max:0.750, min:0.571, mean:0.655
1600: max:0.750, min:0.571, mean:0.667
3200: max:0.750, min:0.571, mean:0.674
6400: max:0.714, min:0.500, mean:0.630
