1: max: 0.179, min: 0, mean: 0.057, stdev: 0.04, maxDiff: 28, medDiff: 27
2: max: 0.214, min: 0, mean: 0.075, stdev: 0.038, maxDiff: 28, medDiff: 24
3: max: 0.25, min: 0.036, mean: 0.098, stdev: 0.038, maxDiff: 27, medDiff: 20
4: max: 0.214, min: 0.036, mean: 0.117, stdev: 0.037, maxDiff: 24, medDiff: 22
5: max: 0.214, min: 0.071, mean: 0.13, stdev: 0.037, maxDiff: 28, medDiff: 14
6: max: 0.286, min: 0.071, mean: 0.143, stdev: 0.045, maxDiff: 19, medDiff: 27
7: max: 0.286, min: 0.071, mean: 0.169, stdev: 0.046, maxDiff: 20, medDiff: 17
8: max: 0.286, min: 0.071, mean: 0.186, stdev: 0.049, maxDiff: 18, medDiff: 6
9: max: 0.321, min: 0.107, mean: 0.201, stdev: 0.041, maxDiff: 19, medDiff: 16
10: max: 0.321, min: 0.107, mean: 0.215, stdev: 0.046, maxDiff: 16, medDiff: 16
11: max: 0.286, min: 0.143, mean: 0.229, stdev: 0.036, maxDiff: 21, medDiff: 6
12: max: 0.321, min: 0.107, mean: 0.245, stdev: 0.036, maxDiff: 16, medDiff: 16
13: max: 0.321, min: 0.143, mean: 0.26, stdev: 0.037, maxDiff: 19, medDiff: 13
14: max: 0.357, min: 0.214, mean: 0.281, stdev: 0.034, maxDiff: 18, medDiff: 16
15: max: 0.357, min: 0.179, mean: 0.294, stdev: 0.036, maxDiff: 21, medDiff: 17
16: max: 0.357, min: 0.214, mean: 0.3, stdev: 0.037, maxDiff: 20, medDiff: 9
17: max: 0.393, min: 0.214, mean: 0.313, stdev: 0.034, maxDiff: 14, medDiff: 15
18: max: 0.393, min: 0.214, mean: 0.32, stdev: 0.037, maxDiff: 18, medDiff: 15
19: max: 0.393, min: 0.214, mean: 0.326, stdev: 0.032, maxDiff: 17, medDiff: 17
20: max: 0.393, min: 0.25, mean: 0.333, stdev: 0.033, maxDiff: 15, medDiff: 14
21: max: 0.429, min: 0.25, mean: 0.339, stdev: 0.032, maxDiff: 22, medDiff: 18
22: max: 0.429, min: 0.25, mean: 0.344, stdev: 0.033, maxDiff: 22, medDiff: 11
23: max: 0.429, min: 0.25, mean: 0.352, stdev: 0.037, maxDiff: 19, medDiff: 15
24: max: 0.429, min: 0.25, mean: 0.361, stdev: 0.037, maxDiff: 16, medDiff: 17
25: max: 0.464, min: 0.286, mean: 0.375, stdev: 0.032, maxDiff: 18, medDiff: 15
26: max: 0.464, min: 0.25, mean: 0.377, stdev: 0.039, maxDiff: 15, medDiff: 12
27: max: 0.5, min: 0.286, mean: 0.385, stdev: 0.043, maxDiff: 15, medDiff: 12
28: max: 0.5, min: 0.286, mean: 0.401, stdev: 0.042, maxDiff: 20, medDiff: 4
29: max: 0.5, min: 0.321, mean: 0.406, stdev: 0.041, maxDiff: 20, medDiff: 15
30: max: 0.5, min: 0.286, mean: 0.406, stdev: 0.048, maxDiff: 14, medDiff: 10
31: max: 0.5, min: 0.321, mean: 0.416, stdev: 0.04, maxDiff: 14, medDiff: 7
32: max: 0.5, min: 0.286, mean: 0.418, stdev: 0.045, maxDiff: 14, medDiff: 9
33: max: 0.536, min: 0.321, mean: 0.423, stdev: 0.042, maxDiff: 17, medDiff: 9
34: max: 0.536, min: 0.286, mean: 0.427, stdev: 0.042, maxDiff: 19, medDiff: 9
35: max: 0.536, min: 0.321, mean: 0.44, stdev: 0.042, maxDiff: 15, medDiff: 14
36: max: 0.536, min: 0.321, mean: 0.453, stdev: 0.045, maxDiff: 14, medDiff: 8
37: max: 0.536, min: 0.321, mean: 0.461, stdev: 0.046, maxDiff: 18, medDiff: 13
38: max: 0.536, min: 0.321, mean: 0.473, stdev: 0.041, maxDiff: 14, medDiff: 15
39: max: 0.571, min: 0.393, mean: 0.479, stdev: 0.033, maxDiff: 16, medDiff: 14
40: max: 0.571, min: 0.393, mean: 0.481, stdev: 0.039, maxDiff: 16, medDiff: 17
41: max: 0.571, min: 0.393, mean: 0.49, stdev: 0.038, maxDiff: 11, medDiff: 8
42: max: 0.571, min: 0.429, mean: 0.499, stdev: 0.036, maxDiff: 11, medDiff: 11
43: max: 0.607, min: 0.357, mean: 0.502, stdev: 0.045, maxDiff: 14, medDiff: 14
44: max: 0.607, min: 0.393, mean: 0.514, stdev: 0.044, maxDiff: 14, medDiff: 9
45: max: 0.607, min: 0.357, mean: 0.519, stdev: 0.044, maxDiff: 13, medDiff: 13
46: max: 0.607, min: 0.429, mean: 0.521, stdev: 0.043, maxDiff: 16, medDiff: 13
47: max: 0.643, min: 0.429, mean: 0.529, stdev: 0.039, maxDiff: 15, medDiff: 5
48: max: 0.643, min: 0.429, mean: 0.536, stdev: 0.042, maxDiff: 13, medDiff: 10
49: max: 0.643, min: 0.393, mean: 0.541, stdev: 0.052, maxDiff: 10, medDiff: 5
50: max: 0.643, min: 0.429, mean: 0.546, stdev: 0.046, maxDiff: 15, medDiff: 6
51: max: 0.679, min: 0.464, mean: 0.556, stdev: 0.046, maxDiff: 13, medDiff: 10
52: max: 0.679, min: 0.429, mean: 0.574, stdev: 0.045, maxDiff: 14, medDiff: 12
53: max: 0.679, min: 0.5, mean: 0.585, stdev: 0.043, maxDiff: 10, medDiff: 11
54: max: 0.679, min: 0.464, mean: 0.588, stdev: 0.051, maxDiff: 10, medDiff: 9
55: max: 0.679, min: 0.429, mean: 0.602, stdev: 0.046, maxDiff: 14, medDiff: 5
56: max: 0.679, min: 0.464, mean: 0.603, stdev: 0.044, maxDiff: 14, medDiff: 7
57: max: 0.714, min: 0.429, mean: 0.608, stdev: 0.048, maxDiff: 12, medDiff: 10
58: max: 0.679, min: 0.5, mean: 0.616, stdev: 0.043, maxDiff: 10, medDiff: 9
59: max: 0.714, min: 0.5, mean: 0.613, stdev: 0.045, maxDiff: 12, medDiff: 6
60: max: 0.714, min: 0.5, mean: 0.619, stdev: 0.045, maxDiff: 13, medDiff: 7
61: max: 0.679, min: 0.5, mean: 0.615, stdev: 0.049, maxDiff: 13, medDiff: 11
62: max: 0.75, min: 0.5, mean: 0.621, stdev: 0.046, maxDiff: 14, medDiff: 12
63: max: 0.75, min: 0.5, mean: 0.624, stdev: 0.044, maxDiff: 15, medDiff: 11
64: max: 0.75, min: 0.536, mean: 0.623, stdev: 0.043, maxDiff: 13, medDiff: 14
65: max: 0.75, min: 0.464, mean: 0.626, stdev: 0.045, maxDiff: 16, medDiff: 9
66: max: 0.75, min: 0.464, mean: 0.629, stdev: 0.05, maxDiff: 16, medDiff: 11
67: max: 0.75, min: 0.5, mean: 0.634, stdev: 0.051, maxDiff: 14, medDiff: 12
68: max: 0.75, min: 0.5, mean: 0.634, stdev: 0.048, maxDiff: 14, medDiff: 9
69: max: 0.75, min: 0.5, mean: 0.636, stdev: 0.044, maxDiff: 13, medDiff: 8
70: max: 0.75, min: 0.5, mean: 0.632, stdev: 0.048, maxDiff: 11, medDiff: 8
71: max: 0.75, min: 0.5, mean: 0.647, stdev: 0.05, maxDiff: 13, medDiff: 9
72: max: 0.75, min: 0.536, mean: 0.651, stdev: 0.048, maxDiff: 16, medDiff: 11
73: max: 0.75, min: 0.5, mean: 0.656, stdev: 0.051, maxDiff: 10, medDiff: 10
